time,q1,q2,q3,q4,q5,q6,q1_dot,q2_dot,q3_dot,q4_dot,q5_dot,q6_dot,q1_ddot,q2_ddot,q3_ddot,q4_ddot,q5_ddot,q6_ddot,tau1,tau2,tau3,tau4,tau5,tau6
1.760000000000000009e+00,1.871469604549201027e-01,-1.446031686491616508e+00,1.570796326794896558e+00,-1.695560967098176608e+00,-1.570796326794896558e+00,1.247646403032800499e-01,2.451751617256998639e-01,1.634501078171332611e-01,0.000000000000000000e+00,-1.634501078171332056e-01,0.000000000000000000e+00,1.634501078171332333e-01,1.272654459013874140e-01,8.484363060092495190e-02,0.000000000000000000e+00,-8.484363060092491027e-02,0.000000000000000000e+00,8.484363060092492415e-02,1.779552036025869866e-01,-2.243659722645064036e+01,-1.728946850127859847e+01,-1.624692576773724806e+00,2.352850823078541601e-03,-1.996117832484752898e-13
1.792000000000000037e+00,1.950569608869431593e-01,-1.440758352870267878e+00,1.570796326794896558e+00,-1.700834300719525238e+00,-1.570796326794896558e+00,1.300379739246287636e-01,2.491757902507438227e-01,1.661171935004959188e-01,0.000000000000000000e+00,-1.661171935004958355e-01,0.000000000000000000e+00,1.661171935004958633e-01,1.227514775404728170e-01,8.183431836031522522e-02,0.000000000000000000e+00,-8.183431836031518358e-02,0.000000000000000000e+00,8.183431836031521134e-02,1.780589234240647911e-01,-2.264794970713222710e+01,-1.727949942442411668e+01,-1.624782652930189641e+00,2.309308904759614384e-03,-2.668895626101242620e-13
1.824000000000000066e+00,2.030926476369629141e-01,-1.435401228370254634e+00,1.570796326794896558e+00,-1.706191425219538482e+00,-1.570796326794896558e+00,1.353950984246419242e-01,2.530298569127000796e-01,1.686865712751334234e-01,0.000000000000000000e+00,-1.686865712751333402e-01,0.000000000000000000e+00,1.686865712751333957e-01,1.181063177179899476e-01,7.873754514532663173e-02,0.000000000000000000e+00,-7.873754514532660398e-02,0.000000000000000000e+00,7.873754514532661786e-02,1.779477491735470263e-01,-2.286207440160076132e+01,-1.726897495930322179e+01,-1.624883365160814108e+00,2.262694700414486816e-03,1.172433521824805573e-13
1.856000000000000094e+00,2.112492645673101355e-01,-1.429963483750023023e+00,1.570796326794896558e+00,-1.711629169839769871e+00,-1.570796326794896558e+00,1.408328430448734236e-01,2.567332584577193266e-01,1.711555056384795881e-01,0.000000000000000000e+00,-1.711555056384795048e-01,0.000000000000000000e+00,1.711555056384795603e-01,1.133358959915242714e-01,7.555726399434953278e-02,0.000000000000000000e+00,-7.555726399434949114e-02,0.000000000000000000e+00,7.555726399434951890e-02,1.776115722410228082e-01,-2.307880413385866802e+01,-1.725788209460529643e+01,-1.624994865008053235e+00,2.213012919404184608e-03,-3.149872722135842947e-13
1.888000000000000123e+00,2.195219272721257997e-01,-1.424448375280146006e+00,1.570796326794896558e+00,-1.717144278309647110e+00,-1.570796326794896558e+00,1.463479515147505239e-01,2.602820813777960152e-01,1.735213875851973619e-01,0.000000000000000000e+00,-1.735213875851972787e-01,0.000000000000000000e+00,1.735213875851973064e-01,1.084461419186604075e-01,7.229742794577360965e-02,0.000000000000000000e+00,-7.229742794577358189e-02,0.000000000000000000e+00,7.229742794577359577e-02,1.770404620679711938e-01,-2.329796894544737640e+01,-1.724620889066054019e+01,-1.625117283156420234e+00,2.160273715930700889e-03,5.652326386371292635e-14
1.919999999999999929e+00,2.279056291492280728e-01,-1.418859240695411028e+00,1.570796326794896558e+00,-1.722733412894381866e+00,-1.570796326794896558e+00,1.519370860994853634e-01,2.636726019107664132e-01,1.757817346071776365e-01,0.000000000000000000e+00,-1.757817346071775533e-01,0.000000000000000000e+00,1.757817346071776088e-01,1.034429850569834608e-01,6.896199003798898775e-02,0.000000000000000000e+00,-6.896199003798895999e-02,0.000000000000000000e+00,6.896199003798897387e-02,1.762247280940958394e-01,-2.351939639833911144e+01,-1.723394453198064369e+01,-1.625250731443615315e+00,2.104493011653938914e-03,-3.556929045929057907e-14
1.951999999999999957e+00,2.363952474719796248e-01,-1.413199495146910234e+00,1.570796326794896558e+00,-1.728393158442882882e+00,-1.570796326794896558e+00,1.575968316479864073e-01,2.669012860403098264e-01,1.779341906935399120e-01,0.000000000000000000e+00,-1.779341906935398288e-01,0.000000000000000000e+00,1.779341906935398843e-01,9.833235496407882748e-02,6.555490330938588961e-02,0.000000000000000000e+00,-6.555490330938586185e-02,0.000000000000000000e+00,6.555490330938587573e-02,1.751549821062108603e-01,-2.374291188028848509e+01,-1.722107938702960084e+01,-1.625395304232128968e+00,2.045692768604400608e-03,4.387964860029887830e-13
1.983999999999999986e+00,2.449855494611543616e-01,-1.407472627154126910e+00,1.570796326794896558e+00,-1.734120026435665984e+00,-1.570796326794896558e+00,1.633236996407695651e-01,2.699647894959485428e-01,1.799765263306323804e-01,0.000000000000000000e+00,-1.799765263306322971e-01,0.000000000000000000e+00,1.799765263306323526e-01,9.312018119753084910e-02,6.208012079835391328e-02,0.000000000000000000e+00,-6.208012079835388553e-02,0.000000000000000000e+00,6.208012079835389940e-02,1.738222006795343832e-01,-2.396833890539353362e+01,-1.720760506311397009e+01,-1.625551074927954920e+00,1.983901235280786761e-03,-1.356998814944636016e-13
2.016000000000000014e+00,2.536711983568041284e-01,-1.401682194557027028e+00,1.570796326794896558e+00,-1.739910459032765866e+00,-1.570796326794896558e+00,1.691141322378693912e-01,2.728599577530472775e-01,1.819066385020315368e-01,0.000000000000000000e+00,-1.819066385020314536e-01,0.000000000000000000e+00,1.819066385020314813e-01,8.781239331492492195e-02,5.854159554328328824e-02,0.000000000000000000e+00,-5.854159554328326048e-02,0.000000000000000000e+00,5.854159554328327436e-02,1.722177873489530442e-01,-2.419549942108753626e+01,-1.719351445216118179e+01,-1.625718091850008484e+00,1.919153160817922395e-03,-3.307537863686019013e-13
2.048000000000000043e+00,2.624467594901260248e-01,-1.395831820468145912e+00,1.570796326794896558e+00,-1.745760833121647204e+00,-1.570796326794896558e+00,1.749645063267506739e-01,2.755838260328132838e-01,1.837225506885422077e-01,0.000000000000000000e+00,-1.837225506885421245e-01,0.000000000000000000e+00,1.837225506885421522e-01,8.241492087384588716e-02,5.494328058256393171e-02,0.000000000000000000e+00,-5.494328058256391090e-02,0.000000000000000000e+00,5.494328058256392477e-02,1.703336342117630631e-01,-2.442421411641264939e+01,-1.717880178507989086e+01,-1.625896384147396567e+00,1.851489976525385944e-03,1.749229403895622106e-13
2.080000000000000071e+00,2.713067063553294411e-01,-1.389925189224676894e+00,1.570796326794896558e+00,-1.751667464365116222e+00,-1.570796326794896558e+00,1.808711375702196089e-01,2.781336193022972969e-01,1.854224128681982442e-01,0.000000000000000000e+00,-1.854224128681981609e-01,0.000000000000000000e+00,1.854224128681981887e-01,7.693369343187878018e-02,5.128912895458585808e-02,0.000000000000000000e+00,-5.128912895458583726e-02,0.000000000000000000e+00,5.128912895458585114e-02,1.681621824993146386e-01,-2.465430272077404794e+01,-1.716346266280753241e+01,-1.626085953643336746e+00,1.780959935003994512e-03,3.610987565925850853e-13
2.112000000000000099e+00,2.802454266815024297e-01,-1.383966042340561531e+00,1.570796326794896558e+00,-1.757626611249231363e+00,-1.570796326794896558e+00,1.868302844543349162e-01,2.805067522743917019e-01,1.870045015162611624e-01,0.000000000000000000e+00,-1.870045015162610791e-01,0.000000000000000000e+00,1.870045015162611068e-01,7.137464054660896950e-02,4.758309369773931763e-02,0.000000000000000000e+00,-4.758309369773929681e-02,0.000000000000000000e+00,4.758309369773931069e-02,1.656964818437112186e-01,-2.488558431001808557e+01,-1.714749410095560123e+01,-1.626286776688243396e+00,1.707618217016412809e-03,6.293054185744375311e-14
2.144000000000000128e+00,2.892572285044795466e-01,-1.377958174458576934e+00,1.570796326794896558e+00,-1.763634479131216182e+00,-1.570796326794896558e+00,1.928381523363197070e-01,2.827008294078325878e-01,1.884672196052217807e-01,0.000000000000000000e+00,-1.884672196052216975e-01,0.000000000000000000e+00,1.884672196052217252e-01,6.574369177562051914e-02,4.382912785041368636e-02,0.000000000000000000e+00,-4.382912785041366555e-02,0.000000000000000000e+00,4.382912785041367248e-02,1.629302478323286230e-01,-2.511787760554598847e+01,-1.713089455966337837e+01,-1.626498804730982073e+00,1.631526998143418075e-03,8.661931687587005217e-14
2.176000000000000156e+00,2.983363462387082499e-01,-1.371905429302424428e+00,1.570796326794896558e+00,-1.769687224287368688e+00,-1.570796326794896558e+00,1.988908974924721573e-01,2.847136449071980269e-01,1.898090966047987216e-01,0.000000000000000000e+00,-1.898090966047986383e-01,0.000000000000000000e+00,1.898090966047986661e-01,6.004677667649930412e-02,4.003118445099954070e-02,0.000000000000000000e+00,-4.003118445099951989e-02,0.000000000000000000e+00,4.003118445099953376e-02,1.598579174721647123e-01,-2.535100127114039026e+01,-1.711366397218138502e+01,-1.626721963568685148e+00,1.552756195817276211e-03,-1.024970824343516614e-13
2.208000000000000185e+00,3.074769467491161312e-01,-1.365811695628819100e+00,1.570796326794896558e+00,-1.775780957960973794e+00,-1.570796326794896558e+00,2.049846311660774023e-01,2.865431827229093509e-01,1.910287884819396043e-01,0.000000000000000000e+00,-1.910287884819395210e-01,0.000000000000000000e+00,1.910287884819395765e-01,5.428982480682988804e-02,3.619321653788659665e-02,0.000000000000000000e+00,-3.619321653788658277e-02,0.000000000000000000e+00,3.619321653788658971e-02,1.564747022369437079e-01,-2.558477420322909168e+01,-1.709580376514688638e+01,-1.626956146322428465e+00,1.471379906172789673e-03,-2.628581947072214627e-13
2.240000000000000213e+00,3.166731354229772588e-01,-1.359680903179578459e+00,1.570796326794896558e+00,-1.781911750410214657e+00,-1.570796326794896558e+00,2.111154236153181540e-01,2.881876165512301524e-01,1.921250777008201294e-01,0.000000000000000000e+00,-1.921250777008200461e-01,0.000000000000000000e+00,1.921250777008201016e-01,4.847876572419768104e-02,3.231917714946512532e-02,0.000000000000000000e+00,-3.231917714946511144e-02,0.000000000000000000e+00,3.231917714946511838e-02,1.527766383220187929e-01,-2.581901582494080216e+01,-1.707731688048810526e+01,-1.627201219309873270e+00,1.387483485022716987e-03,-2.224272089322373367e-13
2.272000000000000242e+00,3.259189622417800192e-01,-1.353517018633709768e+00,1.570796326794896558e+00,-1.788075634956083126e+00,-1.570796326794896558e+00,2.172793081611866517e-01,2.896453098342673393e-01,1.930968732228449392e-01,0.000000000000000000e+00,-1.930968732228448559e-01,0.000000000000000000e+00,1.930968732228448836e-01,4.261952898618708713e-02,2.841301932412472822e-02,0.000000000000000000e+00,-2.841301932412471781e-02,0.000000000000000000e+00,2.841301932412472475e-02,1.487606337550039237e-01,-2.605354636618291053e+01,-1.705820778487350609e+01,-1.627457025209074981e+00,1.301156351671255845e-03,-1.522538262452884481e-13
2.304000000000000270e+00,3.352084278530935713e-01,-1.347324041559500696e+00,1.570796326794896558e+00,-1.794268612030292198e+00,-1.570796326794896558e+00,2.234722852353956957e-01,2.909148157599696916e-01,1.939432105066464795e-01,0.000000000000000000e+00,-1.939432105066463963e-01,0.000000000000000000e+00,1.939432105066464518e-01,3.671804415038363439e-02,2.447869610025575626e-02,0.000000000000000000e+00,-2.447869610025574585e-02,0.000000000000000000e+00,2.447869610025575279e-02,1.444245121058464476e-01,-2.628818714647993460e+01,-1.703848247591069054e+01,-1.627723372809283475e+00,1.212495444015992659e-03,-9.111685151907601630e-14
2.335999999999999854e+00,3.445354896424350777e-01,-1.341106000366606432e+00,1.570796326794896558e+00,-1.800486653223186462e+00,-1.570796326794896558e+00,2.296903264282900148e-01,2.919948772621294708e-01,1.946632515080863324e-01,0.000000000000000000e+00,-1.946632515080862491e-01,0.000000000000000000e+00,1.946632515080863046e-01,3.078024077437210501e-02,2.052016051624807116e-02,0.000000000000000000e+00,-2.052016051624806423e-02,0.000000000000000000e+00,2.052016051624806769e-02,1.397670524146391313e-01,-2.652276083861600142e+01,-1.701814848878120401e+01,-1.628000043247983308e+00,1.121604364216906421e-03,-2.010620741098762034e-13
2.367999999999999883e+00,3.538940678051361588e-01,-1.334866948258139008e+00,1.570796326794896558e+00,-1.806725705331653886e+00,-1.570796326794896558e+00,2.359293785367574392e-01,2.928844270203815325e-01,1.952562846802543828e-01,0.000000000000000000e+00,-1.952562846802542995e-01,0.000000000000000000e+00,1.952562846802543550e-01,2.481204841573713890e-02,1.654136561049142709e-02,0.000000000000000000e+00,-1.654136561049142015e-02,0.000000000000000000e+00,1.654136561049142362e-02,1.347880250816143322e-01,-2.675709173695010179e+01,-1.699721488705061745e+01,-1.628286789268401202e+00,1.028593202207389243e-03,-2.606681299181863241e-13
2.399999999999999911e+00,3.632780514182109011e-01,-1.328610959182755957e+00,1.570796326794896558e+00,-1.812981694407037159e+00,-1.570796326794896558e+00,2.421853676121406007e-01,2.935825874602031593e-01,1.957217249734688191e-01,0.000000000000000000e+00,-1.957217249734687359e-01,0.000000000000000000e+00,1.957217249734687636e-01,1.881939663206409069e-02,1.254626442137606046e-02,0.000000000000000000e+00,-1.254626442137605526e-02,0.000000000000000000e+00,1.254626442137605873e-02,1.294882235560029515e-01,-2.699100602043147390e+01,-1.697569226113779095e+01,-1.628583332401274841e+00,9.335783407384084208e-04,-2.714036923680780569e-13
2.431999999999999940e+00,3.726813045122215340e-01,-1.322342123786748758e+00,1.570796326794896558e+00,-1.819250529803044136e+00,-1.570796326794896558e+00,2.484542030081476616e-01,2.940886707529142274e-01,1.960591138352761609e-01,0.000000000000000000e+00,-1.960591138352760776e-01,0.000000000000000000e+00,1.960591138352761331e-01,1.280821498093819358e-02,8.538809987292131365e-03,0.000000000000000000e+00,-8.538809987292126161e-03,0.000000000000000000e+00,8.538809987292129630e-03,1.238694914035183975e-01,-2.722433198819473432e+01,-1.695359270329494805e+01,-1.628889367445333081e+00,8.366822131705192647e-04,-2.840374620456664794e-14
2.463999999999999968e+00,3.820976721431462719e-01,-1.316064545366132377e+00,1.570796326794896558e+00,-1.825528108223660517e+00,-1.570796326794896558e+00,2.547317814287641258e-01,2.944021788156777064e-01,1.962681192104518413e-01,0.000000000000000000e+00,-1.962681192104517580e-01,0.000000000000000000e+00,1.962681192104518135e-01,6.784433019944364172e-03,4.522955346629576982e-03,0.000000000000000000e+00,-4.522955346629575248e-03,0.000000000000000000e+00,4.522955346629576115e-03,1.179347447779486024e-01,-2.745690030882376931e+01,-1.693092980396711056e+01,-1.629204559896635818e+00,7.380330463768354499e-04,-4.865975688010841853e-14
2.495999999999999996e+00,3.915209864642456572e-01,-1.309782335818732824e+00,1.570796326794896558e+00,-1.831810317771060292e+00,-1.570796326794896558e+00,2.610139909761637345e-01,2.945228033114997146e-01,1.963485355409998467e-01,0.000000000000000000e+00,-1.963485355409997635e-01,0.000000000000000000e+00,1.963485355409997912e-01,7.539803066669485774e-04,5.026535377779658628e-04,0.000000000000000000e+00,-5.026535377779656460e-04,0.000000000000000000e+00,5.026535377779657544e-04,1.116879899802344089e-01,-2.768854424244067758e+01,-1.690771861027584677e+01,-1.629528547049075682e+00,6.377645920936648701e-04,2.548053247072607399e-13
2.528000000000000025e+00,4.009450727979307350e-01,-1.303499611596276031e+00,1.570796326794896558e+00,-1.838093041993516863e+00,-1.570796326794896558e+00,2.672967151986204715e-01,2.944504256492276872e-01,1.963002837661518285e-01,0.000000000000000000e+00,-1.963002837661517452e-01,0.000000000000000000e+00,1.963002837661517730e-01,-5.277213601308419939e-03,-3.518142400872280393e-03,-0.000000000000000000e+00,3.518142400872279092e-03,-0.000000000000000000e+00,-3.518142400872279960e-03,1.051343360560006573e-01,-2.791909986854455283e+01,-1.688397561284029180e+01,-1.629860938149211513e+00,5.360157911452299861e-04,1.190013009229899692e-13
2.560000000000000053e+00,4.103637557076280085e-01,-1.297220489656477849e+00,1.570796326794896558e+00,-1.844372163933315267e+00,-1.570796326794896558e+00,2.735758371384186538e-01,2.941851169835530966e-01,1.961234113223687681e-01,0.000000000000000000e+00,-1.961234113223686848e-01,0.000000000000000000e+00,1.961234113223687126e-01,-1.130321914639661161e-02,-7.535479430931074987e-03,-0.000000000000000000e+00,7.535479430931071518e-03,-0.000000000000000000e+00,-7.535479430931073253e-03,9.828000227671691846e-02,-2.814840628906721776e+01,-1.685971869848603077e+01,-1.630201316421560298e+00,4.329304703213575876e-04,-2.769637945522681399e-14
2.592000000000000082e+00,4.197708650696486687e-01,-1.290949083415130705e+00,1.570796326794896558e+00,-1.850643570174662189e+00,-1.570796326794896558e+00,2.798472433797657422e-01,2.937271382150101751e-01,1.958180921433401167e-01,0.000000000000000000e+00,-1.958180921433400334e-01,0.000000000000000000e+00,1.958180921433400890e-01,-1.731810677101338833e-02,-1.154540451400892613e-02,-0.000000000000000000e+00,1.154540451400892093e-02,-0.000000000000000000e+00,-1.154540451400892440e-02,9.113232053332012694e-02,-2.837630582615653196e+01,-1.683496711872126639e+01,-1.630549237971469889e+00,3.286569922695403842e-04,-8.264767376179133878e-13
2.624000000000000110e+00,4.291602421450545490e-01,-1.284689498698193599e+00,1.570796326794896558e+00,-1.856903154891599517e+00,-1.570796326794896558e+00,2.861068280967030142e-01,2.930769399899744165e-01,1.953846266599829629e-01,0.000000000000000000e+00,-1.953846266599828796e-01,0.000000000000000000e+00,1.953846266599829351e-01,-2.331594691757333387e-02,-1.554396461171555881e-02,-0.000000000000000000e+00,1.554396461171555187e-02,-0.000000000000000000e+00,-1.554396461171555534e-02,8.369973254867128787e-02,-2.860264421331332230e+01,-1.680974144244122925e+01,-1.630904232236376927e+00,2.233478813830157132e-04,-9.885796488348139609e-14
2.656000000000000139e+00,4.385257456515232466e-01,-1.278445829693880986e+00,1.570796326794896558e+00,-1.863146823895911908e+00,-1.570796326794896558e+00,2.923504971010154607e-01,2.922351627006652963e-01,1.948234418004435586e-01,0.000000000000000000e+00,-1.948234418004434754e-01,0.000000000000000000e+00,1.948234418004435309e-01,-2.929081002849093923e-02,-1.952720668566063078e-02,-0.000000000000000000e+00,1.952720668566062037e-02,-0.000000000000000000e+00,-1.952720668566062731e-02,7.599178195909331301e-02,-2.882727076743535832e+01,-1.678406351291101828e+01,-1.631265806057214274e+00,1.171594644615880400e-04,2.271505146522986492e-13
2.688000000000000167e+00,4.478612578352190177e-01,-1.272222154904750546e+00,1.570796326794896558e+00,-1.869370498685042570e+00,-1.570796326794896558e+00,2.985741718901460118e-01,2.912026364851449944e-01,1.941350909900966815e-01,0.000000000000000000e+00,-1.941350909900965982e-01,0.000000000000000000e+00,1.941350909900966537e-01,-3.523676654618190102e-02,-2.349117769745460299e-02,-0.000000000000000000e+00,2.349117769745459258e-02,-0.000000000000000000e+00,-2.349117769745459952e-02,6.801910132488905858e-02,-2.905003855426955184e+01,-1.675795638741231031e+01,-1.631633441072194435e+00,1.025146952260229654e-05,-4.066989692268508260e-13
2.720000000000000195e+00,4.571606905426562339e-01,-1.266022533099792291e+00,1.570796326794896558e+00,-1.875570120490000603e+00,-1.570796326794896558e+00,3.047737936951041005e-01,2.899803812273183401e-01,1.933202541515456063e-01,0.000000000000000000e+00,-1.933202541515455231e-01,0.000000000000000000e+00,1.933202541515455508e-01,-4.114788691306114909e-02,-2.743192460870743504e-02,-0.000000000000000000e+00,2.743192460870742463e-02,-0.000000000000000000e+00,-2.743192460870742810e-02,5.979339415757588261e-02,-2.927080453668893867e+01,-1.673144428847763976e+01,-1.632006596525160891e+00,-9.721335146074274423e-05,5.086714163636886466e-13
2.752000000000000224e+00,4.664179912925681126e-01,-1.259850999266517668e+00,1.570796326794896558e+00,-1.881741654323275226e+00,-1.570796326794896558e+00,3.109453275283787232e-01,2.885696065569324231e-01,1.923797377046216339e-01,0.000000000000000000e+00,-1.923797377046215507e-01,0.000000000000000000e+00,1.923797377046216062e-01,-4.701824157154371742e-02,-3.134549438102914726e-02,-0.000000000000000000e+00,3.134549438102913338e-02,-0.000000000000000000e+00,-3.134549438102914032e-02,5.132741207158111191e-02,-2.948942971901683663e+01,-1.670455253911831761e+01,-1.632384710028816022e+00,-2.050696411339353277e-04,-2.171736213501308723e-13
2.784000000000000252e+00,4.756271493477736700e-01,-1.253711560563047334e+00,1.570796326794896558e+00,-1.887881093026745560e+00,-1.570796326794896558e+00,3.170847662318490578e-01,2.869717118495769270e-01,1.913144745663846458e-01,0.000000000000000000e+00,-1.913144745663845903e-01,0.000000000000000000e+00,1.913144745663846180e-01,-5.284190096404419584e-02,-3.522793397602946852e-02,-0.000000000000000000e+00,3.522793397602945464e-02,-0.000000000000000000e+00,-3.522793397602946158e-02,4.263492727590550979e-02,-2.970577926512320843e+01,-1.667730750162944986e+01,-1.632767198695137534e+00,-3.131498260788152495e-04,2.985206654867287683e-13
